title,link,press
"[춘하추동]겨울철 계절성 우울증, 건강하게 극복하는 법",http://www.joongdo.co.kr/web/view.php?key=20211221010004493,중도일보
"코로나 장기화 속 우울증, 치료 전 자가진단부터",http://www.ikunkang.com/news/articleView.html?idxno=34938,건강다이제스트
"<글로벌 pick> 활동량 급감 청년들, 우울증은 '급증'",http://news.ebs.co.kr/ebsnews/allView/60142214/N,EBS
"""청소년 우울증 심각, 의료기관 접근성 높여야""",http://www.dailymedi.com/detail.php?number=877461&thread=22r03,데일리메디
[단독] 수치로 드러난 '코로나 블루'...정신적 문제 극단선택 10년來 최다,https://www.sedaily.com/NewsView/22V7QIILFY,서울경제언론사 선정
코로나19 장기화 우울증 환자 증가세 이어져,http://www.tjb.co.kr/sub0301/bodo/view/id/53645,TJB 대전방송
“코로나로 청소년 정신건강 급격히 악화”,https://news.koreadaily.com/2021/12/07/society/generalsociety/20211207192601175.html,미주중앙일보
만성피로증후군인 줄 알았더니 코로나19 장기 증상?,http://weekly.chosun.com/client/news/viw.asp?nNewsNumb=002685100037&ctcd=C09,주간조선언론사 선정
게임·VR로 우울증 고친다…'1호 디지털치료제' 각축전,http://www.digitaltoday.co.kr/news/articleView.html?idxno=428576,디지털투데이
코로나 장기화에 한국인 우울점수 6.8점→7.9점,http://news.kmib.co.kr/article/view.asp?arcid=0016558216&code=61121111&cp=nv,국민일보
위드코로나 시대 현명한 면역 전략,http://www.fortunekorea.co.kr/news/articleView.html?idxno=20755,포춘코리아
"코로나 블루, 따뜻한 공연으로 녹여볼까?",http://www.naeil.com/news_view/?id_art=407501,내일신문
[WIKI 프리즘] 길어지는 코로나 후유증으로 건강과 삶이 무너지고 있는 미국인...,http://www.wikileaks-kr.org/news/articleView.html?idxno=119684,위키리크스한국
<글로벌 뉴스 브리핑> 팬데믹에 활동 사라진 20대‥美 지배한 '청년 우울증',http://news.ebs.co.kr/ebsnews/allView/60142246/N,EBS
"[100세 건강] 코로나에 갇힌 현대인, ‘고통 회복력’ 키우는 법",https://www.news1.kr/articles/?4517263,뉴스1
코로나 블루 걱정마세요…강릉시 '찾아가는 마음안심버스' 운영,https://www.news1.kr/articles/?4519207,뉴스1
"코로나19, 만성질환 높이고 신체활동 줄였다",http://www.fsnews.co.kr/news/articleView.html?idxno=44676,대한급식신문
"""코로나19 극복, 학급당 인원 감축과 작은 학교가 해답""",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002793053&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,오마이뉴스
"코로나19 영향? 소방공무원, 외상후스트레스장애‧우울증 증가",http://www.lec.co.kr/news/articleView.html?idxno=732614,법률저널
'심리적 안정' 코로나 속 아이들 곁 지키는 사랑스러운 치료견 [TF사진관],http://news.tf.co.kr/read/photomovie/1904907.htm,더팩트
코로나 스트레스로 교통사망자 폭증,http://www.koreatimes.com/article/1393113,미주한국일보
"아동과 청소년의 코로나 블루, 그냥 두지 마세요",http://www.ohmynews.com/NWS_Web/View/at_pg.aspx?CNTN_CD=A0002794922&CMPT_CD=P0010&utm_source=naver&utm_medium=newsearch&utm_campaign=naver_news,오마이뉴스
"경기도의료원 의정부병원, '코로나 우울 극복 마음 여행' 프로그램 운영",http://www.weeklytoday.com/news/articleView.html?idxno=436735,위클리오늘
“코로나 블루로 힘드시죠… 툭 터놓고 얘기해보세요”,http://www.segye.com/content/html/2021/12/02/20211202516156.html?OutUrl=naver,세계일보
"부산국제교류재단, ‘라오스와 함께하는 부산해외봉사단‘ 해단식",http://www.newsis.com/view/?id=NISX20211230_0001707413&cID=10811&pID=10800,뉴시스언론사 선정
"겨울철 심해지는 계절성 우울증, ‘헬시 마인드’ 지켜주는 음식은?",http://www.segye.com/content/html/2021/12/08/20211208502746.html?OutUrl=naver,세계일보
