"지역","variable","measure","주민등록인구","등록장애인","등록정신장애인","등록정신장애인_비율"
" 서초구","2019",NA,"430,826","10,556","365",3.45
" 서초구","2020",NA,"425,126","10,542","358",3.4
" 서초구","2021",NA,"412,279","10,291","347",3.4
" 강남구","2012",NA,"564,197","15,641","712",4.55
" 강남구","2013",NA,"563,599","15,708","733",4.7
" 강남구","2014",NA,"578,114","16,139","787",4.9
" 강남구","2015",NA,"576,495","15,878","808",5.1
" 강남구","2016",NA,"567,115","15,758","839",5.3
" 강남구","2017",NA,"556,164","15,617","877",5.6
" 강남구","2018",NA,"542,364","15,327","857",5.6
" 강남구","2019",NA,"545,169","15,439","845",5.47
" 강남구","2020",NA,"539,231","15,200","834",5.49
" 강남구","2021",NA,"533,042","15,182","840",5.5
" 송파구","2012",NA,"673,115","20,615","580",2.81
" 송파구","2013",NA,"668,415","20,159","570",2.8
" 송파구","2014",NA,"664,738","19,876","592",3
" 송파구","2015",NA,"660,302","19,599","598",3.1
" 송파구","2016",NA,"657,831","19,499","617",3.2
" 송파구","2017",NA,"664,496","19,790","635",3.2
" 송파구","2018",NA,"666,635","20,008","646",3.2
" 송파구","2019",NA,"675,961","20,280","653",3.21
" 송파구","2020",NA,"667,960","20,286","631",3.11
" 송파구","2021",NA,"658,338","20,356","658",3.2
" 강동구","2012",NA,"487,905","18,649","537",2.87
" 강동구","2013",NA,"483,379","18,461","534",2.9
" 강동구","2014",NA,"476,597","18,226","549",3
" 강동구","2015",NA,"458,658","17,702","574",3.2
" 강동구","2016",NA,"444,168","17,419","561",3.2
" 강동구","2017",NA,"436,223","17,413","568",3.3
" 강동구","2018",NA,"427,573","17,380","566",3.3
" 강동구","2019",NA,"436,067","17,669","594",3.36
" 강동구","2020",NA,"459,970","18,307","638",3.49
" 강동구","2021",NA,"462,664","18,614","640",3.4
